STT,Số ký hiệu,Ngày ban hành,Tên văn bản
1.0,31/2024/QH15,18/01/2024,Luật Đất đai
2.0,29/2023/QH15,28/11/2023,Luật Kinh doanh bất động sản
3.0,27/2023/QH15,27/11/2023,Luật Nhà ở
4.0,45/2013/QH13,29/11/2013,Luật đất đai
5.0,36/2013/QH13,20/06/2013,"Luật sửa đổi, bổ sung một số điều của Luật cư trú"
6.0,48/2010/QH12,28/06/2010,LUẬT THUẾ SỬ DỤNG ĐẤT PHI NÔNG NGHIỆP
7.0,34/2009/QH12,29/06/2009,"LUẬT SỬA ĐỔI, BỔ SUNG ĐIỀU 126 CỦA LUẬT NHÀ Ở VÀ ĐIỀU 121 CỦA LUẬT ĐẤT ĐAI"
8.0,63/2006/QH11,12/07/2006,Luật Kinh doanh bất động sản
9.0,56/2005/QH11,09/12/2005,Luật Nhà ở
10.0,55/2005/QH11,09/12/2005,"Luật Phòng, chống tham nhũng"
11.0,13/2003/QH11,10/12/2003,Luật đất đai
12.0,25/2001/QH10,29/06/2001,"Luật sửa đổi, bổ sung một số điều của Luật Đất đai"
13.0,17/1999/QH10,21/12/1999,"Luật sửa đổi, bổ sung một số điều của luật thuế chuyển quyền sử dụng đất"
14.0,10/1998/QH,02/12/1998,"Luật sửa đổi, bổ sung một số điều của Luật đất đai"
16.0,37/L/CTN,25/10/1994,"Pháp lệnh về quyền và nghĩa vụ của các tổ chức trong nước được Nhà nước giao đất, cho thuê đất"
17.0,37/L/CTN,25/10/1994,"Pháp lệnh về quyền và nghĩa vụ của tổ chức, cá nhân nước ngoài thuê đất tại Việt Nam"
18.0,35/L/CTN,05/07/1994,Luật Thuế Chuyển quyền sử dụng Đất
19.0,34/L/CTN,03/06/1994,"Pháp lệnh sửa đổi, bổ sung một số điều của Pháp lệnh Thuế Nhà, Đất"
20.0,31/L/CTN,29/03/1994,Pháp lệnh Thuế bổ sung đối với hộ gia đình sử dụng đất nông nghiệp vượt quá hạn mức diện tích
21.0,24/L/CTN,24/07/1993,Luật Đất đai
22.0,23/L/CTN,24/07/1993,Luật Thuế Sử dụng Đất Nông nghiệp
23.0,69/LCT/HĐNN8,10/08/1992,"Pháp lệnh về Thuế Nhà, Đất"
24.0,54/LCT/HĐNN8,01/07/1991,"Pháp lệnh Thuế Nhà, Đất"
25.0,03/LCT/HĐNN8,08/01/1988,Luật Đất đai
26.0,103/SL/L.005,20/05/1957,"Luật Đảm bảo quyền tự do thân thể và quyền bất khả xâm phạm đối với nhà ở, đồ vật, thư tín của nhân dân"
29.0,261/2025/NĐ-CP,10/10/2025,"Sửa đổi, bổ sung một số điều của Nghị định số 100/2024/NĐ-CP ngày 26 tháng 7 năm 2024 của Chính phủ quy định chi tiết một số điều của Luật Nhà ở về phát triển và quản lý nhà ở xã hội và Nghị định số 192/2025/NĐ-CP ngày 01 tháng 7 năm 2025 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Nghị quyết số 201/2025/QH15 ngày 29 tháng 5 năm 2025 của Quốc hội thí điểm về một số cơ chế, chính sách đặc thù phát triển nhà ở xã hội"
30.0,230/2025/NĐ-CP,19/08/2025,"Quy định các trường hợp khác được miễn, giảm tiền sử dụng đất, tiền thuê đất theo quy định tại khoản 2 Điều 157 Luật Đất đai năm 2024"
31.0,226/2025/NĐ-CP,15/08/2025,"Sửa đổi, bổ sung một số điều của các nghị định quy định chi tiết thi hành Luật Đất đai"
32.0,192/2025/NĐ-CP,01/07/2025,"Quy định chi tiết một số điều và biện pháp thi hành Nghị quyết số 201/2025/QH15 ngày 29 tháng 5 năm 2025 của Quốc hội thí điểm về một số cơ chế, chính sách đặc thù phát triển nhà ở xã hội"
33.0,91/2025/NĐ-CP,24/04/2025,"Quy định thời điểm xác định giá đất của quỹ đất thanh toán theo hợp đồng Xây dựng – Chuyển giao tại Khu đô thị mới Thủ Thiêm, Thành phố Hồ Chí Minh"
34.0,75/2025/NĐ-CP,01/04/2025,Quy định chi tiết thi hành Nghị quyết số 171/2024/QH15 ngày 30 tháng 11 năm 2024 của Quốc hội về thí điểm thực hiện dự án nhà ở thương mại thông qua thỏa thuận về nhận quyền sử dụng đất hoặc đang có quyền sử dụng đất
35.0,03/2025/NĐ-CP,01/01/2025,"Quy định việc sắp xếp lại, xử lý tài sản công là nhà, đất"
36.0,123/2024/NĐ-CP,04/10/2024,Quy định về xử phạt vi phạm hành chính trong lĩnh vực đất đai
37.0,108/2024/NĐ-CP,23/08/2024,"Quy định việc quản lý, sử dụng và khai thác nhà, đất là tài sản công không sử dụng vào mục đích để ở giao cho tổ chức có chức năng quản lý, kinh doanh nhà địa phương quản lý, khai thác"
38.0,104/2024/NĐ-CP,31/07/2024,Quy định về Quỹ phát triển đất
39.0,103/2024/NĐ-CP,30/07/2024,"Quy định về tiền sử dụng đất, tiền thuê đất"
40.0,102/2024/NĐ-CP,30/07/2024,Quy định chi tiết thi hành một số điều của Luật Đất đai
41.0,101/2024/NĐ-CP,29/07/2024,"Quy định về điều tra cơ bản đất đai; đăng ký, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất và Hệ thống thông tin đất đai"
