index,word
5,được
9,thực_hiện
14,phải
15,theo
16,của
17,bao_gồm
18,đối_với
19,được
21,giao
22,khi
30,này
35,việc
38,số
39,sau
45,khác
58,gồm
63,bảo_đảm
65,như
118,phí
120,thì
121,loại
125,nếu
127,đây
131,chịu
135,công
152,hình_thức
160,bị
161,các
183,đảm_bảo
187,đó
188,trước
196,kỳ
197,kèm
199,trên
202,nơi
207,cần_thiết
231,mình
234,cần
235,đỗ
244,dưới
247,vụ
272,còn
289,chỗ
299,phía
301,quá
304,bên
321,phối_hợp
324,phương_pháp
327,mà
369,gần
372,nhau
379,hơn
381,ở
384,nhằm
388,tạm
391,cả
399,ra
431,từng
433,hết
445,cùng
461,vào
465,cho
498,mới
