document_code,document_id,document_url,issue_date,abstract,num_attachments,attachment_1_url,attachment_2_url,attachment_3_url,attachment_4_url,attachment_5_url
318/2025/NĐ-CP,216184,https://chinhphu.vn/?pageid=27160&docid=216184&classid=1,12/12/2025,Quy định chi tiết một số điều của Luật Việc làm về đăng ký lao động và hệ thống thông tin thị trường lao động,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/318-ndcp.signed.pdf,,,,
46/2025/QĐ-TTg,216171,https://chinhphu.vn/?pageid=27160&docid=216171&classid=1,11/12/2025,Về việc bãi bỏ toàn bộ Quyết định số 53/2012/QĐ-TTg ngày 22 tháng 11 năm 2012 của Thủ tướng Chính phủ về việc ban hành lộ trình áp dụng tỉ lệ phối trộn nhiên liệu sinh học với nhiên liệu truyền thống,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/46-ttg.signed.pdf,,,,
317/2025/NĐ-CP,216180,https://chinhphu.vn/?pageid=27160&docid=216180&classid=1,10/12/2025,"Sửa đổi, bổ sung một số điều của Nghị định số 97/2018/NĐ-CP ngày 30 tháng 6 năm 2018 của Chính phủ về cho vay lại vốn ODA, vay ưu đãi nước ngoài của Chính phủ được sửa đổi, bổ sung bởi Nghị định số 79/2021/NĐ-CP ngày 16 tháng 8 năm 2021",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/317-2025ndcp.signed.pdf,,,,
316/2025/NĐ-CP,216169,https://chinhphu.vn/?pageid=27160&docid=216169&classid=1,10/12/2025,"Quy định chi tiết một số điều và biện pháp thi hành Luật Năng lượng nguyên tử về nhà máy điện hạt nhân, lò phản ứng hạt nhân nghiên cứu",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/316nd.signed.pdf,,,,
17/2025/TT-BVHTTDL,216151,https://chinhphu.vn/?pageid=27160&docid=216151&classid=1,09/12/2025,"Quy định về danh mục kênh chương trình phát thanh, kênh chương trình truyền hình phục vụ nhiệm vụ chính trị, thông tin tuyên truyền thiết yếu của quốc gia và của địa phương",3,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/17-ttbvhttdl.pdf,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/phu-luc-1-17-bvhttdl.pdf,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/phu-luc-2-ttbvhttdl.pdf,,
66.9/2025/NQ-CP,216128,https://chinhphu.vn/?pageid=27160&docid=216128&classid=1,08/12/2025,"Xử lý khó khăn, vướng mắc trong quy định về trách nhiệm xây dựng, quản lý Cơ sở dữ liệu quốc gia về xử lý vi phạm hành chính",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/66.9-nq.signed.pdf,,,,
315/2025/NĐ-CP,216133,https://chinhphu.vn/?pageid=27160&docid=216133&classid=1,08/12/2025,"Ban hành Quy chế làm việc mẫu của Ủy ban nhân dân xã, phường, đặc khu",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/315-ndcp.signed.pdf,,,,
314/2025/NĐ-CP,216132,https://chinhphu.vn/?pageid=27160&docid=216132&classid=1,08/12/2025,"Ban hành Quy chế làm việc mẫu của Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/314-ndcp.signed.pdf,,,,
313/2025/NĐ-CP,216164,https://chinhphu.vn/?pageid=27160&docid=216164&classid=1,08/12/2025,"Quản lý và sử dụng viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức của cơ quan, tổ chức, cá nhân nước ngoài dành cho Việt Nam",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/313-nd.signed.pdf,,,,
4/2025/TT-VPCP,216140,https://chinhphu.vn/?pageid=27160&docid=216140&classid=1,08/12/2025,"Quy định về thông tin, dữ liệu được kết nối, chia sẻ giữa Cổng dịch vụ công quốc gia với các Hệ thống thông tin giải quyết thủ tục hành chính, Cơ sở dữ liệu dùng chung của cơ quan nhà nước phục vụ giải quyết thủ tục hành chính",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/4-tt-vpcp.signed.pdf,,,,
312/2025/NĐ-CP,216137,https://chinhphu.vn/?pageid=27160&docid=216137&classid=1,06/12/2025,"Quy định cơ chế quản lý tài chính dự án đầu tư theo phương thức đối tác công tư và cơ chế thanh toán, quyết toán đối với dự án áp dụng loại hợp đồng BT",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/312-nd.signed.pdf,,,,
311/2025/NĐ-CP,216135,https://chinhphu.vn/?pageid=27160&docid=216135&classid=1,05/12/2025,"Sửa đổi, bổ sung một số điều của Nghị định số 71/2020/NĐ-CP ngày 30 tháng 6 năm 2020 của Chính phủ quy định lộ trình thực hiện nâng trình độ chuẩn được đào tạo của giáo viên mầm non, tiểu học, trung học cơ sở",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/311-cp.signed.pdf,,,,
45/2025/QĐ-TTg,216098,https://chinhphu.vn/?pageid=27160&docid=216098&classid=1,03/12/2025,Quy định đối tượng thuê nhà ở công vụ tại các địa phương thuộc diện sắp xếp đơn vị hành chính cấp tỉnh,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/45-ttg.signed.pdf,,,,
310/2025/NĐ-CP,216102,https://chinhphu.vn/?pageid=27160&docid=216102&classid=1,02/12/2025,"Sửa đổi, bổ sung một số điều của Nghị định số 125/2020/NĐ-CP ngày 19 tháng 10 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính về thuế, hóa đơn",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/310-cp.signed.pdf,,,,
61/2025/TT-BCT,216126,https://chinhphu.vn/?pageid=27160&docid=216126&classid=1,02/12/2025,Quy định về hạn ngạch thuế quan nhập khẩu để thực hiện Hiệp định Thương mại giữa Chính phủ nước Cộng hòa Xã hội chủ nghĩa Việt Nam và Chính phủ nước Cộng hòa Dân chủ Nhân dân Lào giai đoạn 2025 - 2030,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/61-bct.pdf,,,,
60/2025/TT-BCT,216125,https://chinhphu.vn/?pageid=27160&docid=216125&classid=1,02/12/2025,Quy định về thực hiện giá bán điện,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/60-bct.pdf,,,,
58/2025/TT-BCT,216155,https://chinhphu.vn/?pageid=27160&docid=216155&classid=1,02/12/2025,Quy định phương pháp xác định giá dịch vụ phát điện của nhà máy thủy điện tích năng; nội dung chính của hợp đồng mua bán điện,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/58-bct.pdf,,,,
57/2025/TT-BCT,216124,https://chinhphu.vn/?pageid=27160&docid=216124&classid=1,02/12/2025,Quy định một số nội dung kỹ thuật trong hoạt động dầu khí,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/57-bct.pdf,,,,
44/2025/QĐ-TTg,216080,https://chinhphu.vn/?pageid=27160&docid=216080&classid=1,01/12/2025,Bãi bỏ một số văn bản quy phạm pháp luật của Thủ tướng Chính phủ,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/44-ttg.signed.pdf,,,,
16/2025/TT-BVHTTDL,216150,https://chinhphu.vn/?pageid=27160&docid=216150&classid=1,01/12/2025,"Sửa đổi, bổ sung một số điều của Thông tư số 18/2011/TT-BVHTTDL ngày 02 tháng 12 năm 2011 của Bộ trưởng Bộ Văn hóa, Thể thao và Du lịch quy định mẫu về tổ chức hoạt động của câu lạc bộ thể dục thể thao cơ sở",2,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/16-bvhttdl.pdf,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/16-bvhttdl-kem.pdf,,,
44/2025/TT-BKHCN,216154,https://chinhphu.vn/?pageid=27160&docid=216154&classid=1,30/11/2025,"Quy định quản lý nhiệm vụ khoa học và công nghệ do Bộ Khoa học và Công nghệ tài trợ, đặt hàng",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/44-bkhcn.pdf,,,,
43/2025/TT-BKHCN,216145,https://chinhphu.vn/?pageid=27160&docid=216145&classid=1,30/11/2025,Quy định quản lý hỗ trợ hoạt động nâng cao năng lực khoa học và công nghệ,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/43-bkhcn.pdf,,,,
42/2025/TT-BKHCN,216153,https://chinhphu.vn/?pageid=27160&docid=216153&classid=1,30/11/2025,"Quy định áp dụng tiêu chuẩn, quy chuẩn kỹ thuật đối với trung tâm dữ liệu",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/42-bkhcn.pdf,,,,
40/2025/TT-BKHCN,216139,https://chinhphu.vn/?pageid=27160&docid=216139&classid=1,30/11/2025,Bãi bỏ một số thông tư do Bộ trưởng Bộ Thông tin và Truyền thông ban hành trong lĩnh vực viễn thông,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/40-bkhcn.pdf,,,,
