section_id,document_number,sentence
694fb816aedc69db48c70a58,31/2024/QH15,Các quy hoạch có liên quan đến sử dụng đất đã được cơ quan nhà nước có thẩm quyền quyết định
694fb816aedc69db48c70a58,31/2024/QH15,Các quy hoạch có liên quan đến sử dụng đất đã được cơ quan nhà nước có thẩm quyền phê duyệt
694fb816aedc69db48c70a77,31/2024/QH15,"Hợp đồng chuyển nhượng, tặng cho, thế chấp, góp vốn bằng quyền sử dụng đất phải được công chứng hoặc chứng thực"
694fb816aedc69db48c70a77,31/2024/QH15,Quyền sử dụng đất và tài sản gắn liền với đất phải được công chứng hoặc chứng thực
694fb816aedc69db48c70a78,31/2024/QH15,"Việc công chứng, chứng thực hợp đồng, văn bản thực hiện các quyền của người sử dụng đất được thực hiện"
694fb816aedc69db48c70a78,31/2024/QH15,"Hợp đồng cho thuê, cho thuê lại quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất được công chứng hoặc chứng thực"
694fb816aedc69db48c70a78,31/2024/QH15,Hợp đồng chuyển đổi quyền sử dụng đất nông nghiệp được công chứng hoặc chứng thực
694fb816aedc69db48c70a78,31/2024/QH15,"Hợp đồng chuyển nhượng, góp vốn bằng quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, tài sản gắn liền với đất được công chứng hoặc chứng thực"
694fb816aedc69db48c70ab5,31/2024/QH15,Trường hợp có đầu tư xây dựng công trình trên đất thì đầu tư phải phù hợp với pháp luật về xây dựng
694fb816aedc69db48c70ac7,31/2024/QH15,Đất được nhà nước giao không thu tiền sử dụng đất thuộc quy định đó
694fb816aedc69db48c70ac7,31/2024/QH15,Đất được nhà nước giao có thu tiền sử dụng đất thuộc quy định đó
694fb816aedc69db48c70ac7,31/2024/QH15,Đất được nhà nước cho thuê thuộc quy định đó
694fb816aedc69db48c70ac7,31/2024/QH15,Đất do hợp tác xã mua tài sản gắn liền với đất thuộc quy định đó
694fb816aedc69db48c70ac7,31/2024/QH15,Đất do hợp tác xã nhận chuyển nhượng quyền sử dụng đất hợp pháp từ người khác thuộc quy định đó
694fb816aedc69db48c70ac7,31/2024/QH15,Tiền thuê đất có nguồn gốc do nhà nước hỗ trợ thuộc quy định đó
694fb816aedc69db48c70ac7,31/2024/QH15,Tiền mua tài sản gắn liền với đất có nguồn gốc do nhà nước hỗ trợ thuộc quy định đó
694fb816aedc69db48c70ac7,31/2024/QH15,Tiền nhận chuyển nhượng quyền sử dụng đất có nguồn gốc do nhà nước hỗ trợ thuộc quy định đó
694fb816aedc69db48c70ac8,31/2024/QH15,"Đối với đất được nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê, quyền sử dụng đất được xử lý theo quy định"
694fb816aedc69db48c70ac8,31/2024/QH15,"Đối với đất do mua tài sản gắn liền với đất hoặc nhận chuyển nhượng quyền sử dụng đất hợp pháp từ người khác mà tiền sử dụng đất, tiền thuê đất, tiền mua tài sản gắn liền với đất, tiền nhận chuyển nhượng quyền sử dụng đất không có nguồn gốc do nhà nước hỗ trợ, quyền sử dụng đất được xử lý theo quy định"
694fb816aedc69db48c70b1f,31/2024/QH15,Đất không có tranh chấp
694fb816aedc69db48c70b20,31/2024/QH15,Quyền sử dụng đất không bị kê biên
694fb816aedc69db48c70b27,31/2024/QH15,"Đối với trường hợp thực hiện quyền sử dụng đất của cá nhân là người dân tộc thiểu số được giao đất, cho thuê đất theo quy định tại khoản 3 điều 16 của luật này"
694fb816aedc69db48c70b37,31/2024/QH15,Tài sản gắn liền với đất thuê được tạo lập hợp pháp
694fb816aedc69db48c70b6a,31/2024/QH15,"Nội dung điều tra, đánh giá thoái hóa đất bao gồm xác định diện tích đất bị thoái hóa theo từng loại hình thoái hóa"
694fb816aedc69db48c70bac,31/2024/QH15,Hoạt động kiểm kê đất đai được thực hiện
694fb816aedc69db48c70baf,31/2024/QH15,Hoạt động kiểm kê đất đai được thực hiện
694fb816aedc69db48c70c10,31/2024/QH15,Căn cứ lập kế hoạch sử dụng đất hằng năm cấp huyện bao gồm quy hoạch xây dựng
694fb816aedc69db48c70c20,31/2024/QH15,Dự án chưa có trong kế hoạch sử dụng đất hằng năm cấp huyện thuộc một trong các trường hợp sau đây thì được thực hiện
694fb816aedc69db48c70c36,31/2024/QH15,Việc lấy ý kiến về quy hoạch sử dụng đất cấp tỉnh được quy định
694fb816aedc69db48c70c3a,31/2024/QH15,Việc lấy ý kiến về quy hoạch sử dụng đất cấp huyện được quy định rõ
694fb816aedc69db48c70c3a,31/2024/QH15,Việc lấy ý kiến về kế hoạch sử dụng đất hằng năm cấp huyện được quy định rõ
694fb816aedc69db48c70c58,31/2024/QH15,"Việc điều chỉnh quy hoạch, kế hoạch sử dụng đất thực hiện theo các nguyên tắc do cơ quan có thẩm quyền tổ chức lập quy hoạch, kế hoạch sử dụng đất quy định"
694fb816aedc69db48c70ced,31/2024/QH15,Sau khi quốc hội quyết định
694fb816aedc69db48c70d05,31/2024/QH15,"Đơn vị thực hiện nhiệm vụ bồi thường, hỗ trợ, tái định cư tham gia phối hợp"
694fb816aedc69db48c70d05,31/2024/QH15,Các cơ quan có liên quan tham gia phối hợp
694fb816aedc69db48c70d09,31/2024/QH15,"Trường hợp không liên lạc được với người có đất thu hồi, chủ sở hữu tài sản gắn liền với đất, người có quyền lợi và nghĩa vụ liên quan (nếu có), thì không gửi được thông báo thu hồi đất cho họ"
694fb816aedc69db48c70d1f,31/2024/QH15,"Quá thời hạn 10 ngày kể từ ngày kết thúc vận động, thuyết phục, người có đất thu hồi vẫn không đồng ý hoặc không phối hợp thực hiện"
694fb816aedc69db48c70d27,31/2024/QH15,Việc cưỡng chế thực hiện quyết định kiểm đếm phải tiến hành công khai
694fb816aedc69db48c70d27,31/2024/QH15,Việc cưỡng chế thực hiện quyết định kiểm đếm phải tiến hành minh bạch
694fb816aedc69db48c70d27,31/2024/QH15,Việc cưỡng chế thực hiện quyết định kiểm đếm phải tiến hành dân chủ
694fb816aedc69db48c70d27,31/2024/QH15,Việc cưỡng chế thực hiện quyết định kiểm đếm phải tiến hành khách quan
694fb816aedc69db48c70d27,31/2024/QH15,Việc cưỡng chế thực hiện quyết định kiểm đếm phải bảo đảm an toàn
694fb816aedc69db48c70d2a,31/2024/QH15,Ủy ban nhân dân cấp xã đã vận động và thuyết phục
694fb816aedc69db48c70d2a,31/2024/QH15,Ủy ban Mặt trận Tổ quốc Việt Nam cấp xã nơi có đất thu hồi đã vận động và thuyết phục
694fb816aedc69db48c70d2a,31/2024/QH15,"Đơn vị, tổ chức thực hiện nhiệm vụ bồi thường, hỗ trợ, tái định cư đã vận động và thuyết phục"
694fb816aedc69db48c70d31,31/2024/QH15,"Tổ chức được giao thực hiện cưỡng chế thực hiện điều tra, khảo sát, đo đạc, kiểm đếm"
694fb816aedc69db48c70d36,31/2024/QH15,Việc cưỡng chế thực hiện quyết định thu hồi đất phải bảo đảm tiến hành công khai
694fb816aedc69db48c70d36,31/2024/QH15,Việc cưỡng chế thực hiện quyết định thu hồi đất phải bảo đảm tiến hành minh bạch
694fb816aedc69db48c70d36,31/2024/QH15,Việc cưỡng chế thực hiện quyết định thu hồi đất phải bảo đảm tiến hành dân chủ
694fb816aedc69db48c70d36,31/2024/QH15,Việc cưỡng chế thực hiện quyết định thu hồi đất phải bảo đảm tiến hành khách quan
694fb816aedc69db48c70d36,31/2024/QH15,Việc cưỡng chế thực hiện quyết định thu hồi đất phải bảo đảm an toàn
694fb816aedc69db48c70d38,31/2024/QH15,Việc cưỡng chế thực hiện quyết định thu hồi đất được thực hiện với đối tượng khác có liên quan đến khu đất thu hồi (nếu có)
694fb816aedc69db48c70d41,31/2024/QH15,"Trường hợp người bị cưỡng chế không chấp hành quyết định cưỡng chế, ban cưỡng chế thu hồi đất tổ chức thực hiện cưỡng chế"
